N,P,K,temperature,humidity,ph,rainfall,label
25.71,140,109,32.162807231918144,73.39890969939492,7.2303508701645445,10.65,banana
18.57,112,46,24.751675239699466,89.43551018527394,7.043421864435951,6.34,groundnut
99.29,23,44,15.043479095646667,87.97973942324879,4.403611278299078,3.85,banana
43.57,70,139,16.216738644099994,38.43897780359572,6.0006051424713025,1.3,wheat
17.14,111,113,38.69648077222838,28.988150534962458,6.740966223643962,4.26,soybean
53.57,34,199,22.92506903762761,37.872058298891375,5.482652864531236,6.39,wheat
86.43,95,204,25.466114047822245,75.6429373321158,8.903928560047007,8.96,banana
56.43,62,87,13.319270564623395,88.47699146164034,6.215357065895155,12.12,maize
55.71,120,98,28.58759949981936,84.39127545670226,6.416076056972413,12.28,barley
24.29,141,155,39.28603139225564,67.28670886846822,8.618435607134996,5.86,banana
81.43,85,142,27.344571426699115,66.87569801458349,6.6062684573563075,5.63,banana
18.57,24,100,27.07283423823979,52.44643811948944,6.090500383283361,9.13,coffee
40.71,121,88,10.713471912272388,37.231975311241534,4.019096978044027,4.88,wheat
40.71,141,197,40.92336917293974,83.34543229203972,7.356677803637716,7.96,banana
0.0,96,80,40.295256357355484,56.420304537535344,5.484851518851301,8.41,rice
62.86,62,145,19.06494707586139,56.54706681946213,8.703650677878755,2.13,millet
32.14,98,50,35.97809795370824,38.341243448922754,7.563120980986619,1.63,millet
33.57,7,141,27.8067652052892,77.37870186300981,4.901977232181473,5.89,pulses
32.14,86,102,38.6277135297839,38.10640480057039,6.422108357412421,6.13,wheat
27.86,11,163,10.970184962928,22.77081361208112,8.934746521259056,4.65,wheat
64.29,117,100,15.888368057499289,37.03031773076603,8.473524942520598,11.31,wheat
37.86,91,93,35.87982794050704,70.5023939252329,8.610579941181259,6.85,banana
67.14,49,103,14.150300909635462,55.30061384830156,5.653350086342832,11.26,rice
42.86,101,159,14.744591821285534,71.221791429175,5.738888890870841,8.48,tea
9.29,69,13,23.248651478779834,82.14575123093309,8.044446099821492,8.64,millet
60.0,12,73,43.378905175933184,82.34446617732428,6.148029826795816,4.95,tea
56.43,25,180,12.276006305492512,82.01828500850814,6.573783938471026,4.48,coffee
98.57,37,41,30.3015429566349,60.35483283082853,7.923518154337824,11.76,banana
71.43,35,140,28.892985650352408,88.30504370795592,7.832331115943259,5.92,banana
90.0,8,16,19.17811996302411,54.15115505144571,7.788751168099271,6.57,millet
77.86,38,145,26.401657929430257,64.13246048584213,7.760877456960554,5.73,banana
85.71,89,96,27.70224671317244,69.94225591037569,7.771613566151722,8.18,banana
55.0,71,23,39.29078670416553,18.665583495097835,3.6138004442846845,1.76,coffee
87.14,117,42,19.489118578732892,83.78935301312558,5.911647277272573,11.69,groundnut
70.71,110,34,44.45967586612265,29.625527021148486,3.887160298506045,9.65,rice
35.0,28,202,14.787904732838559,38.59248112136898,4.622676034983199,5.29,wheat
82.14,34,55,14.092303440524873,26.879044473984138,4.468985660711701,11.7,wheat
56.43,25,92,41.09130808939211,14.00248296695807,7.70793430134368,4.82,millet
90.0,83,23,27.382401135022217,11.04569224751355,7.840853337398868,12.0,millet
65.0,38,112,27.00297403495467,17.043534274405197,5.959448841398148,6.87,pulses
97.14,120,150,37.027713670251295,32.160460641698606,4.137680234313804,9.32,rice
20.0,29,129,32.51699713599689,19.69954489702003,4.180102327915085,10.09,rice
1.43,90,192,36.77946955653485,28.028567874666386,6.932198185286789,10.39,sugarcane
3.57,59,160,23.471233852338273,27.982747563228017,6.323447024435437,3.45,wheat
2.86,60,145,27.961099267490525,37.0509295283092,7.121271502264635,1.09,wheat
91.43,10,135,27.79062920018766,68.32244963442375,7.90910004468133,9.96,banana
55.0,134,40,17.582437461822288,77.66294404135553,5.901286179296626,5.65,groundnut
45.0,122,138,28.33881901829229,67.71086091754947,5.697825510521706,5.2,pulses
63.57,22,110,37.3095036068597,47.208856823039696,7.963832720376427,8.68,millet
60.0,79,101,21.89546339583639,60.48073708528845,4.712613331250074,2.21,groundnut
25.71,109,27,38.46610803120616,34.56439515418052,3.5472371150535307,12.45,rice
4.29,58,181,35.25315226523173,63.36587685007176,8.606565056919909,8.71,banana
77.86,135,203,43.195147879614375,80.74081306538757,7.353338262273077,7.74,sugarcane
81.43,19,154,13.780136288919994,79.16812794454373,3.9290593154832703,5.26,banana
17.86,72,136,24.89835752391536,69.6223447405803,8.311377267009775,11.57,millet
0.71,19,176,23.533374412310962,44.6067986439052,4.930673706984483,2.79,wheat
7.86,138,72,28.869919356542297,84.92684235621209,5.709154005405912,1.78,millet
85.0,110,72,32.0869927129897,87.48694547707706,5.8187911963150665,3.11,sugarcane
3.57,59,35,36.28022801300437,79.47137433330565,6.73348769071527,3.4,banana
82.86,45,142,32.71856346805083,15.880036307726595,8.459935191309187,1.81,millet
50.71,43,201,34.58323861877417,80.81442891534208,5.0708327613595685,9.87,rice
10.71,45,162,29.378957767441452,16.18981176490614,8.304988662859484,5.38,millet
37.86,129,56,20.638345279390485,11.405197833302942,8.475946258337997,8.95,wheat
82.86,102,103,19.33627871042895,14.223075515348835,6.1351045194125025,2.53,wheat
56.43,95,127,29.16899800698213,77.47107941349648,4.336616162668745,7.07,coffee
65.0,111,179,30.822116229466758,26.78917594314223,3.5749122175153585,2.09,coffee
80.71,129,60,16.812947883215536,84.09215267900302,4.912409256647553,1.93,wheat
85.71,51,139,25.714745986233204,38.949955666120644,7.817481095650567,6.98,millet
9.29,46,121,24.20175296094275,78.25884092590155,5.23224728883359,10.95,wheat
27.86,69,132,17.597470355290387,26.22579109970819,8.985533534767708,1.04,wheat
37.86,55,98,14.08073434296488,70.74855666325018,6.835551241533322,9.1,barley
55.0,73,22,10.765911823757351,40.48459546452981,7.120715034607985,8.15,wheat
56.43,67,82,37.78306757611787,69.44974541077798,5.011325707669344,5.86,coffee
7.14,82,19,13.352734491523512,81.04274436747349,3.7942230500760408,2.68,sugarcane
20.0,96,204,15.053607754245403,14.913506569121635,4.861798193068415,7.1,wheat
67.14,59,192,24.08668659093804,41.51744164775998,5.39157202517163,6.38,wheat
67.86,80,118,13.748732040592703,36.22553222783332,8.990834823255442,5.04,wheat
24.29,112,69,13.511439821612068,56.930259502318265,7.690192376393995,3.91,millet
22.86,50,55,42.726863607637625,27.803696423744164,6.240380585153742,10.07,rice
15.0,135,166,29.77753838491895,30.408680058771083,8.099737094327727,4.11,millet
74.29,29,159,43.96571670575937,46.50217047168851,7.8878312816943135,10.0,millet
6.43,71,182,10.740497827701049,34.290928262940554,8.46969066727047,6.17,wheat
52.86,135,192,23.16635239986048,16.107479960447364,7.470634441013095,10.34,wheat
40.71,15,151,18.919834051365275,21.64883262262154,7.774630610762434,4.63,wheat
24.29,127,47,11.571592855313021,14.425896210952,6.783635804691718,5.14,wheat
12.14,131,191,25.089078561523948,84.09370699703372,7.5967878523161705,10.6,banana
14.29,88,148,36.286594976646185,84.88211066906823,6.011931788655334,2.02,tea
62.14,9,85,18.64022078005739,75.16219353354934,7.686380600341355,2.03,millet
34.29,127,33,22.909887246664717,25.757573657067,6.129000784919672,2.48,wheat
72.14,53,200,24.08464867057957,16.171531553672843,5.411899957131579,1.08,wheat
63.57,16,26,14.816207463979989,34.92183906206921,7.491545013521165,1.37,wheat
87.14,134,118,16.33710881366854,67.15622504493123,7.728545529384646,5.08,sugarcane
42.14,113,11,26.9778549111487,40.34019199445767,7.869583671137597,9.34,millet
58.57,67,102,31.388172915182437,37.414271782124054,8.809708361339492,1.27,millet
99.29,105,41,39.02547798980853,81.2477605220174,4.0208928268308055,4.39,coffee
29.29,112,51,10.834318720433878,36.198016388690384,5.215302082822893,7.69,wheat
27.86,131,191,20.21652334932804,26.877801333622724,4.811025517820397,1.04,wheat
13.57,66,150,26.88894425030341,39.75848300717685,4.504405524067219,10.41,maize
9.29,89,176,24.344604568171405,12.658790693079016,7.855301427933355,2.23,wheat
88.57,83,98,19.19765707699419,79.21296707597455,4.0260208133106765,3.14,pulses
57.86,96,10,26.48794296625541,41.09203695416329,4.171622646040122,9.1,pulses
6.43,133,26,35.50382020881994,70.55299432610698,7.851287691448548,6.78,banana
28.57,70,126,16.058201961388566,36.0991275522821,5.501904803785562,6.07,wheat
17.86,101,55,16.78656210391164,85.04971349081826,8.94934478829734,7.85,millet
15.71,25,48,18.330357765337272,82.35415814104677,4.152316318739375,6.5,barley
93.57,52,100,23.95865389593897,67.15437984858599,7.37331436079686,9.82,wheat
55.71,94,99,43.803382399728676,64.6789899181654,8.884502624635264,3.92,banana
55.71,135,52,16.023933137065153,62.75087995094934,7.073372830067878,1.53,wheat
19.29,56,136,14.536969150996192,53.96298801766385,7.932176649696901,11.04,millet
79.29,70,121,23.293019008444258,12.532515281082341,7.942149257311149,5.67,wheat
95.71,127,40,27.076370330500115,62.50525214836244,8.281028538482726,1.92,banana
13.57,90,166,31.044302255723757,82.34679891681509,4.041893207200539,2.35,coffee
68.57,102,42,29.386372952016,17.712846322157787,5.374456579243491,3.03,coffee
54.29,26,134,38.24413505013348,68.85295509671671,5.653583246729818,11.21,rice
50.0,57,81,23.421302775990505,62.39501111096921,7.092742379114624,5.21,rice
85.0,19,193,26.753122272732575,15.856616242012587,6.527839904801204,1.29,coffee
35.71,113,72,16.031001357000854,62.26961265072562,6.250895168217543,5.57,barley
57.86,110,47,10.866996755999136,50.164005313883315,6.251457632338725,11.21,banana
5.0,17,10,33.72181517217895,52.40194001597853,6.090576255157198,10.61,rice
33.57,13,88,44.49022218301355,29.96750862387744,5.399891025091378,3.55,coffee
72.14,34,71,42.32970115355512,41.70758897978446,6.186197371587252,8.43,rice
5.71,26,90,14.790267063064347,64.43248456111561,7.93611403379892,2.9,millet
46.43,127,112,15.289521781570445,28.981882049373844,3.676153861282758,3.14,wheat
92.14,49,17,13.351994412832678,79.74350955973824,8.692619794436727,7.78,millet
61.43,105,79,16.088649581059528,22.493030484866487,6.0108586102187616,8.34,wheat
36.43,137,175,11.038417697875474,12.868462546268917,4.742054416241542,11.37,wheat
58.57,21,178,28.030833368454495,89.15629352915282,5.526320258763199,7.83,soybean
58.57,125,146,40.842046060171725,76.3513494835397,7.585833551024602,8.11,banana
7.14,82,182,24.800389314956753,26.95208236422924,7.7553047117517835,11.69,wheat
39.29,72,103,22.025164569989514,67.0994606236151,6.74228462839974,5.62,groundnut
87.86,8,75,16.328391926652078,17.30895518049218,4.776295891011854,9.79,wheat
9.29,19,51,10.502326491769736,47.208983857430496,3.6575703367569234,4.21,wheat
87.86,98,50,29.68220859597576,56.10786563552403,7.902351469779212,11.2,millet
15.71,87,10,14.537829037403874,67.62672199041712,4.146027382751072,8.83,cotton
81.43,105,39,15.041598546651432,25.45476179893842,6.767119107078893,7.35,wheat
81.43,86,17,25.708117076576862,20.368338800450402,4.2113303896860215,8.94,soybean
77.86,127,41,35.32533248692103,59.45427308746547,4.940009328063369,8.52,rice
21.43,128,78,29.994703831546225,72.26474016710729,7.298988617700205,12.39,banana
12.86,105,59,44.04779608663046,43.86783269258946,8.828346060431548,9.83,millet
42.14,102,139,25.684653937346603,64.21612547229104,5.974150358064428,3.81,groundnut
84.29,126,121,27.665985189367074,85.75428012319917,3.7868967141967067,5.98,sugarcane
82.86,79,46,14.807667718045325,59.00456880283197,4.745652508771542,10.65,rice
70.71,30,61,37.74753478525845,36.50690488486049,3.9763718983663376,2.27,coffee
76.43,129,170,22.201068697538442,74.39625818857911,4.944503147096837,8.15,sugarcane
34.29,93,194,10.500418121808776,75.75386609480768,3.7829985345376715,10.91,maize
87.14,62,202,10.942739912987353,60.33139029807251,8.864233896740762,4.18,millet
77.86,81,201,42.43898297949995,34.590043852347556,8.91616632452364,2.58,millet
79.29,139,37,31.639700169456425,26.274325875746776,8.21983078276292,4.03,millet
55.0,137,199,10.395419451198915,28.87391576681349,7.190598081850688,9.16,wheat
34.29,32,191,36.75046107226024,69.54741445435886,7.866183721699632,7.77,banana
63.57,44,111,23.568316367518005,43.79598088856874,7.334503535571777,2.14,wheat
61.43,123,128,19.82800009445283,24.34810823097255,8.579340792544274,9.29,wheat
83.57,133,193,44.68447907642872,10.81492375752199,8.064854488724619,9.31,sugarcane
35.71,42,26,29.834094618581716,61.1092589439528,8.206971479844746,4.38,banana
87.14,18,58,35.91397220134699,48.706276076062295,7.682948206969772,7.25,millet
42.86,18,33,37.07540625868625,84.00373344120045,4.615013655596293,8.57,rice
77.86,63,75,15.03740758390439,69.20112156773057,4.210839101421163,9.07,banana
86.43,21,79,29.0653975058578,68.77356446644015,8.63389860422901,5.07,banana
85.71,124,158,25.05088599917171,50.83190174586605,5.593172130689753,6.3,sugarcane
62.14,134,79,16.7722566247692,80.46425166513237,7.6644930043477775,10.35,millet
40.0,6,57,34.95836001888896,51.0796322883133,6.638776916885373,7.1,tea
13.57,110,163,18.033526350294004,69.09180112099833,4.934692839057641,4.09,soybean
11.43,61,187,29.192720326096932,67.64294708257171,6.083599823863849,10.55,groundnut
48.57,96,65,32.08489112101178,48.40195153430952,6.956066787597829,7.37,sugarcane
32.86,58,142,18.145221602815077,72.56242827631262,4.781881708693792,5.6,banana
60.0,62,22,11.868386266822261,85.98043602129425,8.33424847747186,4.07,millet
70.0,119,177,40.098090101578606,40.29080035830713,6.558564260380203,3.33,wheat
7.14,105,96,24.36801928072488,49.6228722342508,7.9657771941337625,3.85,wheat
90.71,100,66,40.577241002966396,47.361220776529755,6.907036435837647,5.84,sugarcane
32.14,133,118,15.200524808077951,34.65219618676591,6.983690905432266,12.12,wheat
90.0,33,93,28.014424207863033,23.889938802326682,5.5401446947207384,4.49,pulses
30.0,37,60,26.322774747208104,87.66537567720347,7.904611267917875,5.78,banana
94.29,15,137,16.625783914099387,15.87628200225895,7.0513279339173796,3.31,wheat
40.0,46,198,30.104254005264867,29.961692613726694,8.232106298487007,1.08,millet
75.0,78,201,29.99435599911222,70.4278327076229,6.552682951701609,9.55,banana
15.0,129,82,23.07790563706168,56.01989003617633,4.321073906709899,9.58,coffee
31.43,93,100,22.735134623278995,81.17524100147857,4.773958411486056,7.06,sugarcane
27.86,38,183,22.784767922603802,22.552296163911176,8.153663898901307,12.46,wheat
73.57,66,170,34.92868998863303,43.220351771692826,5.551321308263932,2.13,maize
0.71,70,12,23.895316697679572,61.206564764676585,5.4195916733478455,8.85,pulses
87.86,108,44,41.609002941312454,32.49436875783154,5.379435058990567,8.29,coffee
67.86,135,129,15.121361020314504,53.97809649618044,8.121595835857875,11.0,millet
76.43,100,60,40.32701052661055,74.56903036460608,6.951479085603452,11.4,banana
73.57,82,133,39.005621082871,48.6388956001944,8.648883643485025,8.77,millet
19.29,122,139,38.63042951439668,79.33267377950651,7.920307272435556,4.61,banana
92.86,126,73,16.959746079722954,69.68513415084794,7.417405171765062,5.64,barley
1.43,72,27,25.806416411441184,28.187683441309535,6.1972390823300785,2.93,pulses
4.29,78,6,23.53820260641664,39.706205452685325,8.430187089334844,7.17,wheat
70.0,37,120,10.288754087765096,34.74593989418092,6.409503759219727,7.7,wheat
71.43,90,185,34.80174888705258,34.80165937475554,7.678517958314219,4.31,millet
65.0,18,118,21.47295887436306,56.59662431080663,8.247795384262137,6.32,millet
98.57,16,14,24.301390519452944,11.317784554867334,4.811013954598802,3.22,wheat
81.43,50,20,43.49422620660273,83.55627320600746,6.959810676110882,4.89,banana
9.29,136,184,10.010126238403338,75.35099561088336,7.399715182179679,1.58,barley
76.43,104,32,35.51655354706661,43.7146271030453,6.335521994038299,9.32,rice
59.29,20,161,27.560005716165,79.68181215769236,6.038826142414537,11.74,pulses
34.29,111,53,35.056710858079555,40.320038369405054,6.759490515638886,7.36,groundnut
18.57,57,142,36.98518560482117,68.82336460691465,6.478829091682056,3.96,barley
65.71,29,59,36.57732713274615,57.383321475801225,4.134249875757504,4.36,coffee
56.43,130,14,11.440871246172081,48.52789691080443,3.715721437564132,4.07,wheat
27.14,135,136,30.49541389410775,89.96815620561216,3.8027822288650435,2.37,coffee
94.29,108,175,31.492315696430783,46.67286148071781,8.434699394456931,2.68,sugarcane
40.71,30,159,20.664819358282966,20.432621420812083,3.6845385137987643,7.19,wheat
82.14,19,8,29.53705195588023,32.13938082551391,7.873020647096092,12.04,millet
83.57,67,120,13.720015828329153,88.44360692517309,5.787815371545378,4.46,sugarcane
18.57,118,96,33.687975946610806,13.39314347247102,4.037080067062665,6.33,coffee
3.57,137,17,33.202414871682755,79.59143089411978,7.690630054321284,1.6,banana
77.86,64,32,37.53681806599809,30.32574201533827,7.621240364615134,7.04,millet
40.0,110,67,19.066389348136898,20.974479156476875,4.1173126558610695,10.34,wheat
75.0,51,197,35.670936298376546,56.83284986217436,4.030613362541219,11.05,rice
81.43,31,119,24.919904825017106,64.38947822866147,5.97093116898249,4.45,tea
74.29,103,75,37.82540579345536,41.64145539609356,4.734322710050581,10.66,rice
12.14,39,102,34.35538964478677,53.1159482298567,8.920463195719282,9.39,millet
47.14,105,109,20.078610350812028,23.782904357317783,3.7937331655384954,4.72,wheat
61.43,86,181,18.656573945520428,81.42462263561809,5.93797844346733,9.67,tea
11.43,143,36,14.038997657469675,71.19166726050071,6.261214027297559,8.17,groundnut
25.71,80,96,39.564823202521694,28.66050502560654,3.722372407788543,8.2,coffee
20.71,62,164,44.73382081345827,20.109071945558455,5.556667039619047,2.74,coffee
12.86,29,10,12.905696909863195,83.98694004779759,5.708070700747017,11.17,tea
13.57,44,42,13.071641631529356,36.68331007888352,6.973319541558197,8.69,wheat
9.29,122,133,37.275912077470046,22.94898758567955,7.632143471327887,11.48,millet
52.14,120,187,43.77593561290871,63.21597309072483,7.272289003765056,8.76,banana
10.71,66,94,33.3478186182404,70.50261219802225,6.256524550479126,4.6,maize
27.86,102,193,28.14943858973514,29.934618419307775,6.268868142163948,1.56,tea
0.71,80,164,21.688233604440658,27.11098284334995,8.003019220406447,2.55,wheat
42.86,12,11,10.528148871781253,17.96097180775871,6.344012921719457,4.54,wheat
87.86,106,203,12.1054218962258,34.35411614263017,8.733409089759757,4.57,wheat
85.0,103,100,10.948381916152925,64.47766707446257,7.697404478539298,9.72,millet
57.86,132,164,41.57573909345581,67.17203542329909,7.942942383201257,1.37,banana
1.43,136,68,39.91648859910835,67.09725015656036,5.61902338022289,10.32,rice
85.71,77,100,17.530110973395686,44.739511028327414,5.1651911636215875,11.23,wheat
74.29,128,26,18.703506477153333,57.73318366243858,8.870259787976355,4.09,millet
52.14,7,152,26.648457452015695,74.08059959719913,6.256069184003816,5.72,rice
98.57,61,123,21.852006788302425,59.91299936032082,8.982808354418651,8.87,millet
45.71,90,128,42.18292165989536,37.499044551909186,6.578622619738548,6.83,pulses
58.57,118,68,34.017949887956306,71.90330259607543,7.304237934709292,6.53,banana
14.29,52,87,33.71001890495407,49.53543303307409,6.102121346687192,2.86,barley
42.14,118,82,10.981485505022679,44.69466996075528,5.591382867904926,1.85,wheat
12.86,84,36,14.040602991159291,29.13388890507359,8.261808384558606,10.11,wheat
79.29,107,38,11.963358348913317,31.84662703338813,6.8270701498619575,10.91,wheat
96.43,18,188,39.00934514930961,15.497476495578608,8.790107085959052,10.35,millet
75.71,32,177,36.09792363872809,75.9581878612061,5.480359728915413,6.32,coffee
72.14,34,186,30.95415918271911,56.26663133416423,8.757454254895602,5.81,millet
66.43,84,125,34.0467152536555,46.43350154725773,5.606269594081542,5.1,cotton
22.14,14,56,26.97965482039129,49.225516644982875,4.4991917445200365,12.01,cotton
52.14,114,62,34.37215526448309,21.031275896007003,4.929433186788273,4.52,coffee
85.0,129,52,19.28793049602986,12.422019218114029,8.31824208522626,10.28,wheat
55.71,97,65,17.79054011844906,45.690811083292616,7.0787714052209765,6.02,wheat
28.57,16,180,15.076613939958941,74.87087699872629,4.492811927592651,6.56,sugarcane
53.57,24,66,22.109823646321274,62.375582674887525,4.591412430349884,10.98,pulses
67.14,30,183,43.616305005582525,65.58554328413776,7.700354101862379,5.55,banana
19.29,73,153,16.155654096125392,23.46132557666685,6.111077462118668,9.03,wheat
65.0,53,163,29.385693014590387,34.81595840712696,8.732374978863842,8.75,millet
7.86,61,178,15.230733361466575,11.517755993413399,6.353516624365723,12.17,wheat
29.29,134,43,34.497415200578736,37.24141579752366,7.235375096984871,8.94,coffee
52.14,107,134,25.189304308394586,22.50359620347087,8.957420388323502,1.25,millet
81.43,44,110,10.558787330278234,45.2777853237931,4.478711776598435,4.83,wheat
35.71,127,55,31.01556692259891,30.205676382859803,6.217846624337641,8.23,millet
79.29,129,91,36.093500440486,24.890063413429566,7.928299729062578,4.46,millet
33.57,40,35,41.87446492631438,57.71318687208428,6.545638519946456,3.11,tea
44.29,42,53,23.338258139597592,15.37659200775039,4.662093441024415,8.09,wheat
97.86,127,43,31.672494423508613,76.35928516476307,8.505770116336898,10.08,banana
65.71,52,79,30.987860910923875,72.00462030735291,5.179684523490271,3.65,coffee
2.14,40,5,22.430889823983104,44.45023161496959,7.6547233773802725,2.04,wheat
80.0,55,96,32.06547953596097,54.114051362047306,6.62785083589047,7.81,soybean
66.43,44,71,38.17579946171814,38.2873604813684,5.039692689604186,7.82,coffee
85.0,140,154,15.910437931431634,23.095691096106925,5.764897271878384,8.02,wheat
20.0,33,55,25.70837113070416,67.31146313370131,8.094285525105455,12.05,banana
66.43,32,173,42.65724043916566,31.197949188347547,6.627377671967802,7.03,groundnut
35.71,93,108,17.894017700151764,74.54538573975769,7.093568088843879,1.23,millet
70.0,21,202,14.106912001897312,72.45708829576117,7.046834219857356,8.74,maize
77.14,103,48,13.244997967688109,35.61181413888786,5.785343211773492,9.67,wheat
57.14,72,29,26.16137498344825,45.18352260965159,6.091060875765199,3.06,pulses
65.0,73,117,41.75980202889964,85.89210132489976,5.552777551007326,5.62,millet
58.57,121,163,18.22755919017954,80.02658679235225,5.604395495821713,10.65,cotton
5.0,80,150,34.67043384808683,84.45978624156481,5.758486065636027,6.05,maize
6.43,117,139,41.10286954440088,53.66566201654248,8.20656758272484,9.23,millet
2.86,71,182,12.546925691976808,50.49609107567658,4.193226130053437,7.11,maize
57.86,9,180,11.172341884855175,11.881038484572679,6.544758785891878,9.55,wheat
52.14,133,153,11.053321161846073,55.84326672817505,8.514045123858274,11.69,millet
30.0,99,158,30.892876242197207,52.2751580044062,8.143258402302514,10.39,millet
95.0,47,108,28.296993835830587,66.76985071796295,7.659251674814748,9.85,banana
9.29,119,27,36.487668824861416,63.1870081036823,7.624380415495174,4.95,banana
35.0,123,116,27.17822687739993,55.25714987146565,5.67821066462104,1.1,sugarcane
94.29,144,194,15.954217733278972,88.91271987082257,7.112526412643682,1.8,sugarcane
87.14,21,156,30.991625956716838,30.166848486167773,3.9763072558886163,0.87,coffee
97.86,87,143,37.75187941823521,63.9221944064421,3.5085412924749333,1.59,coffee
88.57,103,154,23.006963368348945,37.765067739367446,3.730898816608966,1.23,wheat
5.71,108,96,30.802781516865213,12.357488230762792,3.9000999175283235,5.91,coffee
49.29,58,91,17.862003421104404,57.20053705060189,3.6759380400870287,6.77,barley
78.57,113,62,16.0728103978644,58.52281089956034,7.528968914831133,5.01,millet
80.0,98,120,28.349004537455418,85.89653899074835,5.527762854953155,4.26,tea
18.57,102,138,22.278424187938555,65.16529442031198,4.039361043117926,1.14,maize
40.71,83,132,11.781303546396815,41.63314334127523,7.928404184067392,3.91,wheat
80.71,27,168,28.768208183370504,89.70505078796451,4.298938396461907,1.45,coffee
47.86,18,167,16.9329019794382,46.237149293377975,8.017947335675569,7.62,wheat
51.43,47,22,42.66581872563021,18.384001304979467,7.854412382368952,4.4,millet
92.86,54,107,27.4257281961677,70.54606030974001,5.739638217498364,8.32,sugarcane
74.29,14,135,41.01136920285231,24.662586400879725,4.85044608465684,6.7,coffee
19.29,48,166,33.9617102460645,73.17901687851855,4.985712709978841,1.43,coffee
25.0,36,35,19.338611000221437,18.35276823731416,5.280920773718343,10.87,wheat
18.57,56,52,12.832748721602208,66.5097679845793,7.141633191670193,7.36,wheat
5.0,120,99,39.445576937755305,48.388175984387196,5.964770549877755,4.01,wheat
49.29,122,76,42.641521907843355,59.91743707797095,6.280909710561172,1.14,maize
40.0,87,52,22.462513167912206,38.71807888235231,4.228880223757817,6.52,wheat
62.14,80,65,31.838513546477174,32.53613526723921,4.4313372535650455,10.69,rice
18.57,94,173,16.879866282847214,83.87457593738992,5.3555867695540655,4.55,millet
68.57,44,176,27.49002249766778,75.61070276153639,6.428420195893038,6.2,tea
27.14,67,58,43.01782025817001,54.44794825372951,8.370858201072116,4.46,millet
83.57,135,79,21.19350449993393,25.493403038996618,6.747444814496603,12.45,wheat
60.0,27,183,41.155872445249386,24.61069402783398,4.748204033019032,5.59,coffee
20.0,48,86,26.79198752656226,48.82038510036426,6.279053919427964,6.77,maize
47.86,33,70,34.22934973357927,32.11148722674093,4.625366845587804,3.41,coffee
72.86,79,113,41.16526404791635,68.8698104094463,7.025322950085243,8.26,banana
50.0,67,60,10.368957668609795,87.13436387450353,5.8509649112346995,9.86,pulses
64.29,122,9,37.73298107173147,77.30085365172211,3.9520963609839534,3.21,coffee
3.57,49,149,23.071853515736922,70.14178526036989,5.475855948664569,3.73,banana
39.29,101,122,32.38806985264587,27.729923527047518,8.781059193668785,7.86,millet
6.43,125,191,38.58331110523358,68.2398551343147,8.432014259437214,10.11,banana
13.57,121,185,23.747722126673565,89.62346043247167,4.533542234349916,7.28,cotton
40.71,96,180,17.110336280982825,64.491664612429,8.370818322070017,3.83,millet
28.57,17,60,31.244607439620545,18.14523176886653,6.073739517219398,3.77,cotton
82.86,30,189,34.601877645146885,48.87687611389787,7.997403816371602,4.87,millet
44.29,67,133,23.589226011580173,28.191306847787267,4.4450512667746835,12.46,wheat
22.14,119,149,10.025052693629027,60.640432366502,8.301541600718657,10.54,millet
